date,word,number,editor,reason
2025-07-28,savvy,1500,Tracy Bennett,Because I can
2025-07-29,omega,1501,Tracy Bennett,Because I can
2025-07-30,assay,1502,Tracy Bennett,Because I can
2025-07-31,frill,1503,Tracy Bennett,Because I can
2025-08-01,banjo,1504,Tracy Bennett,Because I can
2025-08-02,daunt,1505,Tracy Bennett,Because I can
2025-08-03,lumpy,1506,Tracy Bennett,Because I can
2025-08-04,rigid,1507,Tracy Bennett,Because I can
2025-08-05,stork,1508,Tracy Bennett,Because I can
2025-08-06,groan,1509,Tracy Bennett,Because I can
2025-08-07,coral,1510,Tracy Bennett,Because I can
2025-08-08,imbue,1511,Tracy Bennett,Because I can
2025-08-09,nasal,1512,Tracy Bennett,Because I can
2025-08-10,minty,1513,Tracy Bennett,Because I can
2025-08-11,south,1514,Tracy Bennett,Because I can
